Date,BUSG Index,BUHY Index,BUSC Index,BMBS Index,CRY Index,SPX Index,BGER Index,BERC Index,BEUH Index,DAX Index,BJPN Index,BJPY Index,NKY Index,BRIT Index,BGBP Index,BGBH Index,UKX Index,BAUS Index,BAUD Index,AS51 Index,BEMS Index,BIEM Index,BEAC Index,VEIEX US Equity,BCGB Index,SHSZ300 Index
2/27/2015,0.002362589,0.001084081,0.002448386,0.000556845,0.014049181,-0.002960688,-0.001026061,-0.0003953,0.001211862,0.006552929,0.000249031,0.000120452,0.000646556,-0.006182878,-0.005002984,-0.00020112,-0.000441841,-0.001034216,0.000170642,0.003425627,3.39841E-05,0.001761938,0.001855321,-0.00037886,-0.000542205,0.001834396
3/2/2015,-0.004771794,0.001244918,-0.005457834,-0.00353193,-0.009411427,0.006106289,-0.002525019,-0.001030005,-0.001052645,0.000762756,-0.000533713,-6.48572E-05,0.001538347,-0.001304687,-0.000719539,0.001865988,-0.000866979,0.00147118,0.000961876,0.005066614,0.000611517,-0.000329232,0.002605633,-0.001896454,4.85677E-05,0.007923535
3/3/2015,-0.001387515,5.83175E-05,-0.00128429,-0.002050518,0.000207205,-0.004548937,-0.000768453,-0.000156833,0.000140825,-0.011458554,-0.003485023,-0.000760069,-0.000622708,-0.00750139,-0.005631546,0.000487454,-0.007449182,-0.005214392,-0.001589983,-0.00420121,-0.001005804,0.001194739,0.003231876,-0.005711038,-0.001263526,-0.026267605
3/4/2015,0.000657052,-0.000939975,0.000332053,0,0.005279141,-0.004398161,0.000201496,-0.000291326,0.000483552,0.009705979,0.000258897,0.000148351,-0.005946909,-0.002955053,-0.002285059,-0.000527608,0.00436113,-0.002156264,-0.001202695,-0.005459355,-0.002737098,-0.001624335,0.001507882,-0.008820767,0.000388947,0.006513137
3/5/2015,0.000303741,0.000207519,0.000411304,0.001305361,-0.004869811,0.001195361,0.003478731,0.000948366,0.001382035,0.009926531,0.001409368,4.63553E-05,0.002575862,0.003026152,0.002591512,0.0004072,0.006037317,0.000453969,0.000205107,0.000435211,-0.0005797,0.000107416,0.001859136,-0.003472896,-0.000761831,-0.009812854
3/6/2015,-0.007207877,-0.001330163,-0.007989294,-0.002238807,-0.008951059,-0.014275342,-0.003180292,-0.001336934,0.000268847,0.004073746,0.000721755,0.000148323,0.011619616,-0.009953033,-0.007604251,-0.001038401,-0.007113158,-0.002068976,-0.000718059,-0.000898245,-0.006556907,-0.004909958,0.002554138,-0.010101096,-0.00071373,-0.005110935
3/9/2015,0.003029517,-0.001338436,0.002832164,0.00186602,-0.003753803,0.0039367,0.005735065,0.002224745,-4.27662E-05,0.00269225,-0.003015221,-0.000992326,-0.009557413,0.001162599,0.001116116,0.001233339,-0.005124657,-0.001708732,-0.000780191,-0.013227088,-0.002351228,-0.000892697,-0.002339312,-0.006660162,-0.00164839,0.016884016
3/10/2015,0.003242214,-0.003601871,0.002910936,0.003535874,-0.014994789,-0.017106871,0.007353001,0.001840256,-0.000287192,-0.007081588,-0.00288097,-0.000826143,-0.006698078,0.010012537,0.008929885,0.002845213,-0.025574122,0.004782691,0.001819501,0.000487912,-0.002957185,-0.001715637,-0.003894824,-0.019849798,-0.001398795,-0.004856378
3/11/2015,0.001535147,-5.87274E-05,0.001387314,0.001485057,-0.000714449,-0.001919499,0.002478207,-0.000148883,-9.77864E-05,0.026226951,0.002523536,0.000621992,0.003124482,0.000787891,0.000123557,0.000834281,0.002781514,0.001902513,0.000635361,-0.00533598,0.000496922,-0.000577346,-0.000988266,0.002002805,0.00103302,0.001147438
3/12/2015,0.000377269,0.000600162,-9.3872E-05,0,-0.005729852,0.012522721,-0.002677023,-0.001877823,-0.000213941,-0.000559195,0.002463693,0.00094617,0.014190487,0.004544851,0.004450853,0.001432653,0.00586833,0.00236438,0.000150241,0.009786424,0.003423422,0.001457158,0.000988266,0.009558018,0.001989824,0.019162098
3/13/2015,-0.000787505,-0.002376663,-0.001995056,-0.000185512,-0.018620544,-0.006093213,-0.000360916,-0.00071629,-0.000507529,0.00862585,-0.002374323,-0.000890489,0.013760841,0.004953104,0.00321872,0.000524602,-0.003035187,-0.002399192,-0.000956467,-0.006108357,-0.00483201,-0.003769883,-0.00354698,-0.013165959,-0.001104066,0.006882489
3/16/2015,0.002458897,-0.001936844,0.001474991,-0.003345106,-0.002766522,0.01344289,0.000279906,-0.001262216,-0.001322007,0.022112858,0.001062894,0.000269085,-0.000425451,0.002870429,0.002371853,0.00035908,0.009376458,0.004113345,0.001884732,-0.00290815,-0.001721998,-0.002448638,-0.005059971,0.006804109,-0.001316731,0.02403777
3/17/2015,0.001447918,-0.001947165,0.000830532,-0.001303903,-0.005326421,-0.00332574,-0.001451941,-0.001121646,-0.00295635,-0.015477002,0.000499795,1.85549E-05,0.009872102,0.000553487,-0.000927447,-0.001819525,0.004915823,0.000485259,-0.000341174,0.007639873,-0.001059568,-0.001778656,-0.002318068,0.005965418,-0.001009041,0.01378889
3/18/2015,0.007638349,-9.84423E-05,0.008460889,0.004649009,0.01443445,0.012085116,0.007275325,0.003174736,-0.000995594,-0.004859525,0.004975378,0.001205333,0.005514427,0.008154598,0.006109155,0.000770423,0.015612518,0.006548703,0.002896271,3.86838E-05,0.002228637,0.003380367,-0.000717582,0.016906241,-0.000399015,0.023394709
