,CURRENCY_SHORT,CURRENCY_LONG,DAYS,RETURNS,RETURNS_ANNUALIZED
0,EUR,BRL,15.0,,
0,EUR,MXN,15.0,,
0,AUD,BRL,15.0,,
0,AUD,MXN,15.0,,
0,CLP,BRL,30.0,,
0,CLP,MXN,30.0,,
0,COP,BRL,30.0,,
0,COP,MXN,30.0,,
0,BRL,CLP,30.0,,
0,BRL,COP,30.0,,
0,BRL,BRL,30.0,,
0,BRL,MXN,30.0,,
0,BRL,USD,30.0,,
0,BRL,JPY,30.0,,
0,BRL,EUR,30.0,,
0,BRL,AUD,30.0,,
0,MXN,CLP,30.0,,
0,MXN,COP,30.0,,
0,MXN,BRL,30.0,,
0,MXN,MXN,30.0,,
0,MXN,USD,30.0,,
0,MXN,JPY,30.0,,
0,MXN,EUR,30.0,,
0,MXN,AUD,30.0,,
0,USD,BRL,30.0,,
0,USD,MXN,30.0,,
0,JPY,BRL,30.0,,
0,JPY,MXN,30.0,,
0,EUR,BRL,30.0,,
0,EUR,MXN,30.0,,
0,AUD,BRL,30.0,,
0,AUD,MXN,30.0,,
